poem_id,prompt_id,iterations,schedule,emotion,score
2021-06-18-11-19-02,0,10,zeta,safe,107.0
2021-06-18-11-20-50,0,10,zeta,lost,109.125
2021-06-18-11-22-34,0,10,zeta,alone,89.375
2021-06-18-11-24-26,0,10,zeta,singledout,216.0
2021-06-18-11-26-09,0,10,zeta,fearful,138.375
2021-06-18-11-27-54,0,10,zeta,fearless,154.25
2021-06-18-11-29-32,0,10,zeta,lustful,117.75
2021-06-18-11-31-13,0,10,zeta,hated,159.625
2021-06-18-11-32-58,0,10,zeta,independent,111.875
2021-06-18-11-34-40,0,10,zeta,free,87.5
2021-06-18-11-36-21,0,10,zeta,attracted,110.625
2021-06-18-11-38-06,0,10,zeta,happy,139.625
2021-06-18-11-39-51,0,10,zeta,sad,167.375
2021-06-18-11-41-35,0,10,zeta,derailed,117.625
2021-06-18-11-43-23,0,10,zeta,average,103.375
2021-06-18-11-45-12,0,10,zeta,powerless,75.75
2021-06-18-11-46-54,0,10,zeta,attached,64.375
2021-06-18-11-48-33,0,10,zeta,angry,56.875
2021-06-18-11-50-18,0,10,zeta,loved,106.5
2021-06-18-11-51-59,0,10,zeta,cheated,140.0
2021-06-18-11-53-52,0,10,zeta,surprise,89.41666666666667
